STRUCTURE_NAME,Tipo,Valor,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,SequenciaTipo,SequenciaValor,Attribute,qryNacional.X,Y,X
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,LT,Lithuania,2024,23.5,2,1,Inicio,25.8,988,25.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,LT,Lithuania,2024,23.5,2,1,Fim,25.8,987,23.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,LT,Lithuania,2024,27.8,2,2,Inicio,25.8,986,25.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,LT,Lithuania,2024,27.8,2,2,Fim,25.8,985,27.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,LU,Luxembourg,2024,18.2,2,1,Inicio,20,988,20
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,LU,Luxembourg,2024,18.2,2,1,Fim,20,987,18.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,LU,Luxembourg,2024,22,2,2,Inicio,20,986,20
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,LU,Luxembourg,2024,22,2,2,Fim,20,985,22
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,MT,Malta,2024,18.1,2,1,Inicio,19.7,988,19.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,MT,Malta,2024,18.1,2,1,Fim,19.7,987,18.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,MT,Malta,2024,21.5,2,2,Inicio,19.7,986,19.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,MT,Malta,2024,21.5,2,2,Fim,19.7,985,21.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,NL,Netherlands,2024,15.2,2,1,Inicio,15.4,988,15.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,NL,Netherlands,2024,15.2,2,1,Fim,15.4,987,15.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,NL,Netherlands,2024,15.6,2,2,Inicio,15.4,986,15.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,NL,Netherlands,2024,15.6,2,2,Fim,15.4,985,15.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,NO,Norway,2024,15.2,2,1,Inicio,15.7,988,15.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,NO,Norway,2024,15.2,2,1,Fim,15.7,987,15.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,NO,Norway,2024,16.1,2,2,Inicio,15.7,986,15.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,NO,Norway,2024,16.1,2,2,Fim,15.7,985,16.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,PL,Poland,2024,15.4,2,1,Inicio,16,988,16
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,PL,Poland,2024,15.4,2,1,Fim,16,987,15.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,PL,Poland,2024,16.6,2,2,Inicio,16,986,16
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,PL,Poland,2024,16.6,2,2,Fim,16,985,16.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,PT,Portugal,2024,18.4,2,1,Inicio,19.7,988,19.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,PT,Portugal,2024,18.4,2,1,Fim,19.7,987,18.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,PT,Portugal,2024,20.9,2,2,Inicio,19.7,986,19.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,PT,Portugal,2024,20.9,2,2,Fim,19.7,985,20.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,RO,Romania,2024,27.4,2,1,Inicio,27.9,988,27.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,RO,Romania,2024,27.4,2,1,Fim,27.9,987,27.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,RO,Romania,2024,28.4,2,2,Inicio,27.9,986,27.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,RO,Romania,2024,28.4,2,2,Fim,27.9,985,28.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,SK,Slovakia,2024,18.1,2,1,Inicio,18.3,988,18.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,SK,Slovakia,2024,18.1,2,1,Fim,18.3,987,18.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,SK,Slovakia,2024,18.4,2,2,Inicio,18.3,986,18.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,SK,Slovakia,2024,18.4,2,2,Fim,18.3,985,18.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,SI,Slovenia,2024,13.3,2,1,Inicio,14.4,988,14.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,SI,Slovenia,2024,13.3,2,1,Fim,14.4,987,13.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,SI,Slovenia,2024,15.6,2,2,Inicio,14.4,986,14.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,SI,Slovenia,2024,15.6,2,2,Fim,14.4,985,15.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,ES,Spain,2024,24.8,2,1,Inicio,25.8,988,25.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,ES,Spain,2024,24.8,2,1,Fim,25.8,987,24.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,ES,Spain,2024,26.8,2,2,Inicio,25.8,986,25.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,ES,Spain,2024,26.8,2,2,Fim,25.8,985,26.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,SE,Sweden,2024,17.6,2,1,Inicio,17.5,988,17.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,SE,Sweden,2024,17.6,2,1,Fim,17.5,987,17.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,SE,Sweden,2024,17.4,2,2,Inicio,17.5,986,17.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,SE,Sweden,2024,17.4,2,2,Fim,17.5,985,17.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,TR,Türkiye,2024,28.1,2,1,Inicio,30.4,988,30.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,TR,Türkiye,2024,28.1,2,1,Fim,30.4,987,28.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,TR,Türkiye,2024,32.6,2,2,Inicio,30.4,986,30.4
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,TR,Türkiye,2024,32.6,2,2,Fim,30.4,985,32.6
