Ano,Geo,Valor
1972,Netherlands,11.7
1972,Poland,28.3
1972,Portugal,41.4
1972,Romania,40
1972,Slovakia,25.4
1972,Slovenia,21
1972,Spain,16.3
1972,Sweden,10.8
1973,Austria,23.8
1973,Belgium,17.7
1973,Bulgaria,26.2
1973,Croatia,26.2
1973,Cyprus,18
1973,Czechia,19.5
1973,Denmark,11.5
1973,Estonia,15.9
1973,Finland,10.6
1973,Germany,21.3
1973,Greece,24.1
1973,Hungary,33.8
1973,Ireland,18
1973,Italy,26.2
1973,Latvia,15.8
1973,Lithuania,18.1
1973,Luxembourg,15.3
1973,Malta,23.5
1973,Netherlands,11.5
1973,Poland,29.5
1973,Portugal,44.8
1973,Romania,38.1
1973,Slovakia,24.9
1973,Slovenia,21.2
1973,Spain,15.2
1973,Sweden,9.9
1974,Austria,23.5
1974,Belgium,17.4
1974,Bulgaria,25.5
1974,Croatia,25.2
1974,Cyprus,20.9
1974,Czechia,19.3
1974,Denmark,10.7
1974,Estonia,17.6
1974,Finland,11
1974,Germany,20
1974,Greece,23.9
1974,Hungary,34.3
1974,Ireland,17.8
1974,Italy,22.9
1974,Latvia,18.4
1974,Lithuania,19.4
1974,Luxembourg,13.5
1974,Malta,19.7
1974,Netherlands,11.3
1974,Poland,23.4
1974,Portugal,37.9
1974,Romania,35
1974,Slovakia,22.8
1974,Slovenia,19
1974,Spain,13.7
1974,Sweden,9.6
1975,Austria,20.5
1975,Belgium,16.1
1975,Bulgaria,23.1
1975,Croatia,23
1975,Cyprus,18.2
1975,Czechia,19.4
1975,Denmark,10.4
1975,Estonia,18.2
1975,Finland,9.6
1975,Germany,18.9
1975,Greece,24
1975,Hungary,32.8
1975,Ireland,17.5
1975,Italy,21.2
1975,Latvia,20.3
1975,Lithuania,19.6
1975,Luxembourg,14.8
1975,Malta,18.3
1975,Netherlands,10.6
1975,Poland,24.8
1975,Portugal,38.9
1975,Romania,34.7
1975,Slovakia,23.7
1975,Slovenia,17.3
1975,Spain,18.9
1975,Sweden,8.6
1976,Austria,18.2
1976,Belgium,15.3
1976,Bulgaria,23.5
1976,Croatia,22.4
1976,Cyprus,15.7
1976,Czechia,19.1
1976,Denmark,10.2
1976,Estonia,17.5
1976,Finland,9.8
1976,Germany,16.6
1976,Greece,22.5
1976,Hungary,29.8
1976,Ireland,15.5
1976,Italy,19.5
1976,Latvia,20.1
1976,Lithuania,18.2
1976,Luxembourg,17.9
1976,Malta,15.6
1976,Netherlands,10.7
1976,Poland,23.7
1976,Portugal,33.4
1976,Romania,31.4
1976,Slovakia,24.5
1976,Slovenia,19.4
1976,Spain,17.1
1976,Sweden,8.3
1977,Austria,16.8
1977,Belgium,13.6
1977,Bulgaria,24
1977,Croatia,21.5
1977,Cyprus,15.6
1977,Czechia,18.7
1977,Denmark,8.7
1977,Estonia,17.5
1977,Finland,9
1977,Germany,14.8
1977,Greece,20.4
1977,Hungary,26.2
1977,Ireland,15.5
1977,Italy,18.1
1977,Latvia,18.3
1977,Lithuania,17.2
1977,Luxembourg,10.6
1977,Malta,13.8
1977,Netherlands,9.5
1977,Poland,24.5
1977,Portugal,30.3
1977,Romania,31.2
1977,Slovakia,21.5
1977,Slovenia,17.6
1977,Spain,16
1977,Sweden,8
1978,Austria,15
1978,Belgium,13.3
1978,Bulgaria,22.2
1978,Croatia,20.9
1978,Cyprus,15.6
1978,Czechia,17.1
1978,Denmark,8.8
1978,Estonia,16.5
1978,Finland,7.5
1978,Germany,14.3
1978,Greece,19.3
1978,Hungary,24.4
1978,Ireland,14.9
1978,Italy,17.1
1978,Latvia,18.1
1978,Lithuania,18.2
1978,Luxembourg,10.6
1978,Malta,15.1
1978,Netherlands,9.6
1978,Poland,26.8
1978,Portugal,29.1
1978,Romania,30.3
1978,Slovakia,21.8
1978,Slovenia,16.6
1978,Spain,15.3
1978,Sweden,7.8
1979,Austria,14.7
1979,Belgium,12.3
1979,Bulgaria,19.8
1979,Croatia,19.2
1979,Cyprus,13.2
1979,Czechia,15.8
1979,Denmark,8.8
1979,Estonia,18.3
1979,Finland,7.6
1979,Germany,13.3
1979,Greece,18.7
1979,Hungary,24
1979,Ireland,12.8
1979,Italy,15.7
1979,Latvia,18.3
1979,Lithuania,16.8
1979,Luxembourg,13
1979,Malta,15.6
1979,Netherlands,8.7
1979,Poland,25.2
1979,Portugal,26
1979,Romania,31.6
1979,Slovakia,20.9
1979,Slovenia,15.4
1979,Spain,14.3
1979,Sweden,7.5
1980,Austria,14.3
1980,Belgium,12.1
1980,Bulgaria,20.2
1980,Croatia,20.6
1980,Cyprus,14.4
1980,Czechia,16.9
1980,Denmark,8.4
1980,Estonia,17.1
1980,Finland,7.6
1980,Germany,12.4
1980,Greece,17.9
1980,Hungary,23.2
1980,Ireland,11.1
1980,Italy,14.6
1980,Latvia,15.3
1980,Lithuania,14.5
1980,Luxembourg,11.5
1980,Malta,15.2
1980,Netherlands,8.6
1980,Poland,25.4
1980,Portugal,24.3
1980,Romania,29.3
1980,Slovakia,20.9
1980,Slovenia,15.3
1980,Spain,12.3
1980,Sweden,6.9
1981,Austria,12.6
1981,Belgium,11.5
1981,Bulgaria,18.9
1981,Croatia,18.9
1981,Cyprus,14.4
1981,Czechia,15.4
1981,Denmark,7.9
1981,Estonia,17
1981,Finland,6.5
1981,Germany,11.8
1981,Greece,16.3
1981,Hungary,20.8
1981,Ireland,10.3
1981,Italy,14.1
1981,Latvia,16
1981,Lithuania,16.5
1981,Luxembourg,13.8
1981,Malta,11
1981,Netherlands,8.3
1981,Poland,24.9
1981,Portugal,21.8
1981,Romania,28.6
1981,Slovakia,19.2
1981,Slovenia,13.1
1981,Spain,12.5
1981,Sweden,6.9
1982,Austria,12.8
1982,Belgium,11.1
1982,Bulgaria,18.2
1982,Croatia,18.3
1982,Cyprus,14.3
1982,Czechia,15
1982,Denmark,8.2
1982,Estonia,17.2
1982,Finland,6
1982,Germany,11.1
1982,Greece,15.1
1982,Hungary,20
1982,Ireland,10.5
1982,Italy,13
1982,Latvia,13.9
1982,Lithuania,15
1982,Luxembourg,12.1
1982,Malta,14.9
1982,Netherlands,8.3
1982,Poland,24.4
1982,Portugal,19.8
1982,Romania,28
1982,Slovakia,17.9
1982,Slovenia,14
1982,Spain,11.3
1982,Sweden,6.8
1983,Austria,11.9
1983,Belgium,10.6
1983,Bulgaria,16.5
1983,Croatia,18.7
1983,Cyprus,14.3
1983,Czechia,14.5
1983,Denmark,7.7
1983,Estonia,16.1
1983,Finland,6.2
1983,Germany,10.4
1983,Greece,14.6
1983,Hungary,19
1983,Ireland,10.1
1983,Italy,12.3
1983,Latvia,15.9
1983,Lithuania,13.9
1983,Luxembourg,11.2
1983,Malta,14.9
1983,Netherlands,8.4
1983,Poland,23.1
1983,Portugal,19.2
1983,Romania,23.9
1983,Slovakia,17.5
1983,Slovenia,13.9
1983,Spain,10.9
1983,Sweden,7
1984,Austria,11.4
1984,Belgium,10
1984,Bulgaria,16.1
1984,Croatia,16.8
1984,Cyprus,14.4
1984,Czechia,14.1
1984,Denmark,7.7
1984,Estonia,13.6
1984,Finland,6.5
1984,Germany,9.8
1984,Greece,14.3
1984,Hungary,20.4
1984,Ireland,9.6
1984,Italy,11.4
1984,Latvia,12.9
1984,Lithuania,13.4
1984,Luxembourg,11.7
1984,Malta,11.7
1984,Netherlands,8.3
1984,Poland,23
1984,Portugal,16.7
1984,Romania,23.4
1984,Slovakia,17.2
1984,Slovenia,13.9
1984,Spain,9.9
1984,Sweden,6.4
1985,Austria,11.2
1985,Belgium,9.8
1985,Bulgaria,15.4
1985,Croatia,16.6
1985,Cyprus,14.4
1985,Czechia,12.5
1985,Denmark,7.9
1985,Estonia,14.1
1985,Finland,6.3
1985,Germany,9.1
1985,Greece,14.1
1985,Hungary,20.4
1985,Ireland,8.8
1985,Italy,10.5
1985,Latvia,13
1985,Lithuania,14.2
1985,Luxembourg,9
1985,Malta,14.5
1985,Netherlands,8
1985,Poland,22.1
1985,Portugal,17.8
1985,Romania,25.6
1985,Slovakia,16.3
1985,Slovenia,13
1985,Spain,8.9
1985,Sweden,6.8
1986,Austria,10.3
1986,Belgium,9.6
1986,Bulgaria,14.7
1986,Croatia,15.7
1986,Cyprus,14.4
1986,Czechia,12.3
1986,Denmark,8.2
1986,Estonia,16
1986,Finland,5.8
1986,Germany,8.7
1986,Greece,12.2
1986,Hungary,19
1986,Ireland,8.9
1986,Italy,10.2
1986,Latvia,12.8
1986,Lithuania,11.6
1986,Luxembourg,7.9
1986,Malta,10.1
1986,Netherlands,7.7
1986,Poland,21.3
1986,Portugal,15.8
1986,Romania,23.2
1986,Slovakia,15
1986,Slovenia,11.9
1986,Spain,9.2
1986,Sweden,5.9
1987,Austria,9.8
1987,Belgium,9.7
1987,Bulgaria,14.7
1987,Croatia,14
1987,Cyprus,13.2
1987,Czechia,12
1987,Denmark,8.3
1987,Estonia,16
1987,Finland,6.2
1987,Germany,8.4
1987,Greece,11.7
1987,Hungary,17.3
1987,Ireland,7.9
1987,Italy,9.8
1987,Latvia,11.3
1987,Lithuania,12.3
1987,Luxembourg,9.4
1987,Malta,7.3
1987,Netherlands,7.6
1987,Poland,21.2
1987,Portugal,14.2
1987,Romania,28.9
1987,Slovakia,14.2
1987,Slovenia,11.1
1987,Spain,8.9
1987,Sweden,6.1
1988,Austria,8.1
1988,Belgium,9
1988,Bulgaria,13.6
1988,Croatia,13.1
1988,Cyprus,13
1988,Czechia,11
1988,Denmark,7.6
1988,Estonia,12.5
1988,Finland,6
1988,Germany,7.6
1988,Greece,11
1988,Hungary,15.8
1988,Ireland,8.9
1988,Italy,9.3
1988,Latvia,11
1988,Lithuania,11.6
1988,Luxembourg,8.5
1988,Malta,8
1988,Netherlands,6.8
1988,Poland,19.9
1988,Portugal,13
1988,Romania,25.4
1988,Slovakia,13.3
1988,Slovenia,10
1988,Spain,8
1988,Sweden,5.8
1989,Austria,8.3
1989,Belgium,8.5
1989,Bulgaria,14.4
1989,Croatia,11.7
1989,Cyprus,12.9
1989,Czechia,10
1989,Denmark,8
1989,Estonia,14.8
1989,Finland,6.1
1989,Germany,7.5
1989,Greece,9.7
1989,Hungary,15.7
1989,Ireland,8.1
1989,Italy,8.7
1989,Latvia,11.3
1989,Lithuania,10.7
1989,Luxembourg,9.9
1989,Malta,10.4
1989,Netherlands,6.8
1989,Poland,19.3
1989,Portugal,12.1
1989,Romania,26.9
1989,Slovakia,13.5
1989,Slovenia,8.1
1989,Spain,7.8
1989,Sweden,5.8
1990,Austria,7.8
1990,Belgium,8
1990,Bulgaria,14.8
1990,Croatia,10.7
1990,Cyprus,12.9
1990,Czechia,10.8
1990,Denmark,7.5
1990,Estonia,12.3
1990,Finland,5.6
1990,Germany,7
1990,Greece,9.7
1990,Hungary,14.8
1990,Ireland,8.2
1990,Italy,8.1
1990,Latvia,13.7
1990,Lithuania,10.2
1990,Luxembourg,7.3
1990,Malta,9.1
1990,Netherlands,7.1
1990,Poland,19.4
1990,Portugal,10.9
1990,Romania,26.9
1990,Slovakia,12
1990,Slovenia,8.4
1990,Spain,7.6
1990,Sweden,6
1991,Austria,7.5
1991,Belgium,8.3
1991,Bulgaria,16.9
1991,Croatia,11.1
1991,Cyprus,12.2
1991,Czechia,10.4
1991,Denmark,7.3
1991,Estonia,13.3
1991,Finland,5.8
1991,Germany,6.9
1991,Greece,9
1991,Hungary,15.6
1991,Ireland,7.6
1991,Italy,8
1991,Latvia,15.7
1991,Lithuania,14.4
1991,Luxembourg,9.2
1991,Malta,9.6
1991,Netherlands,6.5
1991,Poland,18.2
1991,Portugal,10.8
1991,Romania,22.7
1991,Slovakia,13.2
1991,Slovenia,8.2
1991,Spain,7.2
1991,Sweden,6.2
1992,Austria,7.5
1992,Belgium,8.2
1992,Bulgaria,15.9
1992,Croatia,11.6
1992,Cyprus,11.1
1992,Czechia,9.9
1992,Denmark,6.6
1992,Estonia,15.7
1992,Finland,5.2
1992,Germany,6.2
1992,Greece,8.4
1992,Hungary,14.1
1992,Ireland,6.5
1992,Italy,7.8
1992,Latvia,17.6
1992,Lithuania,16.3
1992,Luxembourg,8.5
1992,Malta,10.8
1992,Netherlands,6.3
1992,Poland,17.5
1992,Portugal,9.2
1992,Romania,23.3
1992,Slovakia,12.6
1992,Slovenia,8.9
1992,Spain,7.1
1992,Sweden,5.3
1993,Austria,6.5
1993,Belgium,8
1993,Bulgaria,15.5
1993,Croatia,9.9
1993,Cyprus,8.7
1993,Czechia,8.5
1993,Denmark,5.4
1993,Estonia,15.6
1993,Finland,4.4
1993,Germany,5.8
1993,Greece,8.5
1993,Hungary,12.5
1993,Ireland,6.1
1993,Italy,7
1993,Latvia,16.2
1993,Lithuania,15.7
1993,Luxembourg,6
1993,Malta,8.2
1993,Netherlands,6.3
1993,Poland,16.2
1993,Portugal,8.6
1993,Romania,23.3
1993,Slovakia,10.6
1993,Slovenia,6.8
1993,Spain,6.7
1993,Sweden,4.8
1994,Austria,6.3
1994,Belgium,7.6
1994,Bulgaria,16.3
1994,Croatia,10.2
1994,Cyprus,8.6
1994,Czechia,7.9
1994,Denmark,5.5
1994,Estonia,14.4
1994,Finland,4.7
1994,Germany,5.6
1994,Greece,7.9
1994,Hungary,11.5
1994,Ireland,5.7
1994,Italy,6.4
1994,Latvia,15.7
1994,Lithuania,14.2
1994,Luxembourg,5.3
1994,Malta,9.1
1994,Netherlands,5.6
1994,Poland,15.1
1994,Portugal,7.9
1994,Romania,23.9
1994,Slovakia,11.2
1994,Slovenia,6.5
1994,Spain,6
1994,Sweden,4.4
1995,Austria,5.4
1995,Belgium,6
1995,Bulgaria,14.8
1995,Croatia,8.9
1995,Cyprus,8.5
1995,Czechia,7.7
1995,Denmark,5.1
1995,Estonia,14.9
1995,Finland,3.9
1995,Germany,5.3
1995,Greece,8.1
1995,Hungary,10.7
1995,Ireland,6.4
1995,Italy,6.1
1995,Latvia,18.8
1995,Lithuania,12.5
1995,Luxembourg,5.5
1995,Malta,8.9
1995,Netherlands,5.5
1995,Poland,13.6
1995,Portugal,7.4
1995,Romania,21.2
1995,Slovakia,11
1995,Slovenia,5.5
1995,Spain,5.5
1995,Sweden,4.1
1996,Austria,5.1
1996,Belgium,5
1996,Bulgaria,15.6
1996,Croatia,8
1996,Cyprus,8.5
1996,Czechia,6
1996,Denmark,5.6
1996,Estonia,10.5
1996,Finland,4
1996,France,5
1996,Germany,5
1996,Greece,7.2
1996,Hungary,10.9
1996,Ireland,6
1996,Italy,6
1996,Latvia,15.9
1996,Lithuania,10.1
1996,Luxembourg,4.9
1996,Malta,10.9
1996,Netherlands,5.7
1996,Poland,12.2
1996,Portugal,6.8
1996,Romania,22.3
1996,Slovakia,10.2
1996,Slovenia,4.7
1996,Spain,5.5
1996,Sweden,4
1997,Austria,4.7
1997,Belgium,5.4
1997,Bulgaria,17.5
1997,Croatia,8.2
1997,Cyprus,8
1997,Czechia,5.9
1997,Denmark,5.2
1997,Estonia,10
1997,Finland,3.9
1997,France,4.9
1997,Germany,4.9
1997,Greece,6.4
1997,Hungary,9.9
1997,Ireland,6.1
1997,Italy,5.5
1997,Latvia,15.3
1997,Lithuania,10.3
1997,Luxembourg,4.2
1997,Malta,6.8
1997,Netherlands,5
1997,Poland,10.2
1997,Portugal,6.4
1997,Romania,22
1997,Slovakia,8.7
1997,Slovenia,5.2
1997,Spain,5
1997,Sweden,3.6
1998,Austria,4.9
1998,Belgium,5.2
1998,Bulgaria,14.4
1998,Croatia,8.2
1998,Cyprus,7
1998,Czechia,5.2
1998,Denmark,4.7
1998,Estonia,9.4
1998,Finland,4.2
1998,France,4.8
1998,Germany,4.7
1998,Greece,6.7
1998,Hungary,9.7
1998,Ireland,5.9
1998,Italy,5.1
1998,Latvia,15
1998,Lithuania,9.3
1998,Luxembourg,5
1998,Malta,7.3
1998,Netherlands,5.2
1998,Poland,9.5
1998,Portugal,6
1998,Romania,20.5
1998,Slovakia,8.8
1998,Slovenia,5.2
1998,Spain,4.9
1998,Sweden,3.5
1999,Austria,4.4
1999,Belgium,4.9
1999,Bulgaria,14.6
1999,Croatia,7.7
1999,Cyprus,6
1999,Czechia,4.6
1999,Denmark,4.2
1999,Estonia,9.6
1999,Finland,3.6
1999,France,4.4
1999,Germany,4.5
1999,Greece,6.2
1999,Hungary,8.4
1999,Ireland,5.9
1999,Italy,4.9
1999,Latvia,11.3
1999,Lithuania,8.7
1999,Luxembourg,4.7
1999,Malta,7.5
1999,Netherlands,5.2
1999,Poland,8.9
1999,Portugal,5.6
1999,Romania,18.6
1999,Slovakia,8.3
1999,Slovenia,4.5
1999,Spain,4.5
1999,Sweden,3.4
2000,Austria,4.8
2000,Belgium,4.8
2000,Bulgaria,13.3
2000,Croatia,7.4
2000,Cyprus,5.6
2000,Czechia,4.1
2000,Denmark,5.3
2000,Estonia,8.4
2000,Finland,3.8
2000,France,4.5
2000,Germany,4.4
2000,Greece,5.9
2000,Hungary,9.2
2000,Ireland,6.2
2000,Italy,4.3
2000,Latvia,10.3
2000,Lithuania,8.6
2000,Luxembourg,5.1
2000,Malta,5.2
2000,Netherlands,5.1
2000,Poland,8.1
2000,Portugal,5.5
2000,Romania,18.6
2000,Slovakia,8.6
2000,Slovenia,4.9
2000,Spain,4.4
2000,Sweden,3.4
2001,Austria,4.8
2001,Belgium,4.5
2001,Bulgaria,14.4
2001,Croatia,7.7
2001,Cyprus,4.9
2001,Czechia,4
2001,Denmark,4.9
2001,Estonia,8.8
2001,Finland,3.2
2001,France,4.6
2001,Germany,4.3
2001,Greece,5.1
2001,Hungary,8.1
2001,Ireland,5.7
2001,Italy,4.4
2001,Latvia,11
2001,Lithuania,8
2001,Luxembourg,5.9
2001,Malta,3.8
2001,Netherlands,5.4
2001,Poland,7.7
2001,Portugal,5
2001,Romania,18.4
2001,Slovakia,6.2
2001,Slovenia,4.2
2001,Spain,4
2001,Sweden,3.7
2002,Austria,4.1
2002,Belgium,4.4
2002,Bulgaria,13.3
2002,Croatia,7
2002,Cyprus,4.7
2002,Czechia,4.1
2002,Denmark,4.4
2002,Estonia,5.7
2002,Finland,3
2002,France,4.2
2002,Germany,4.2
2002,Greece,5.1
2002,Hungary,7.2
2002,Ireland,5
2002,Italy,4.1
2002,Latvia,9.8
2002,Lithuania,8.1
2002,Luxembourg,5.1
2002,Malta,5.4
2002,Netherlands,5
2002,Poland,7.5
2002,Portugal,5
2002,Romania,17.3
2002,Slovakia,7.6
2002,Slovenia,3.8
2002,Spain,4.1
2002,Sweden,3.3
2003,Austria,4.5
2003,Belgium,4.1
2003,Bulgaria,12.3
2003,Croatia,6.3
2003,Cyprus,4.1
2003,Czechia,3.9
2003,Denmark,4.4
2003,Estonia,7
2003,Finland,3.1
2003,France,4.2
2003,Germany,4.2
2003,Greece,4
2003,Hungary,7.3
2003,Ireland,5.3
2003,Italy,3.8
2003,Latvia,9.4
2003,Lithuania,6.9
2003,Luxembourg,4.9
2003,Malta,5.7
2003,Netherlands,4.8
2003,Poland,7
2003,Portugal,4.1
2003,Romania,16.7
2003,Slovakia,7.9
2003,Slovenia,4
2003,Spain,3.9
2003,Sweden,3.1
2004,Austria,4.5
2004,Belgium,3.9
2004,Bulgaria,11.6
2004,Croatia,6.1
2004,Cyprus,3.5
2004,Czechia,3.7
2004,Denmark,4.4
2004,Estonia,6.4
2004,Finland,3.3
2004,France,4
2004,Germany,4.1
2004,Greece,4.1
2004,Hungary,6.6
2004,Ireland,4.6
2004,Italy,3.4
2004,Latvia,9.3
2004,Lithuania,8.1
2004,Luxembourg,3.9
2004,Malta,5.7
2004,Netherlands,4.4
2004,Poland,6.8
2004,Portugal,3.8
2004,Romania,16.8
2004,Slovakia,6.8
2004,Slovenia,3.7
2004,Spain,3.9
2004,Sweden,3.1
2005,Austria,4.2
2005,Belgium,3.7
2005,Bulgaria,10.4
2005,Croatia,5.7
2005,Cyprus,4.6
2005,Czechia,3.4
2005,Denmark,4.4
2005,Estonia,5.4
2005,Finland,3
2005,France,3.8
2005,Germany,3.9
2005,Greece,3.8
2005,Hungary,6.2
2005,Ireland,3.8
