Commodity,Year,Attribute,Value
Red meat and poultry (carcass weight): Per capita availability,1935,"U.S. population, July 1-Millions",127.362
Red meat and poultry (carcass weight): Per capita availability,1936,"U.S. population, July 1-Millions",128.181
Red meat and poultry (carcass weight): Per capita availability,1937,"U.S. population, July 1-Millions",128.961
Red meat and poultry (carcass weight): Per capita availability,1938,"U.S. population, July 1-Millions",129.969
Red meat and poultry (carcass weight): Per capita availability,1939,"U.S. population, July 1-Millions",131.028
Red meat and poultry (carcass weight): Per capita availability,1940,"U.S. population, July 1-Millions",132.122
Red meat and poultry (carcass weight): Per capita availability,1941,"U.S. population, July 1-Millions",133.402
Red meat and poultry (carcass weight): Per capita availability,1942,"U.S. population, July 1-Millions",134.86
Red meat and poultry (carcass weight): Per capita availability,1943,"U.S. population, July 1-Millions",136.739
Red meat and poultry (carcass weight): Per capita availability,1944,"U.S. population, July 1-Millions",138.397
Red meat and poultry (carcass weight): Per capita availability,1945,"U.S. population, July 1-Millions",139.928
Red meat and poultry (carcass weight): Per capita availability,1946,"U.S. population, July 1-Millions",141.389
Red meat and poultry (carcass weight): Per capita availability,1947,"U.S. population, July 1-Millions",144.126
Red meat and poultry (carcass weight): Per capita availability,1948,"U.S. population, July 1-Millions",146.631
Red meat and poultry (carcass weight): Per capita availability,1949,"U.S. population, July 1-Millions",149.188
Red meat and poultry (carcass weight): Per capita availability,1950,"U.S. population, July 1-Millions",151.684
Red meat and poultry (carcass weight): Per capita availability,1951,"U.S. population, July 1-Millions",154.287
Red meat and poultry (carcass weight): Per capita availability,1952,"U.S. population, July 1-Millions",156.954
Red meat and poultry (carcass weight): Per capita availability,1953,"U.S. population, July 1-Millions",159.565
Red meat and poultry (carcass weight): Per capita availability,1954,"U.S. population, July 1-Millions",162.391
Red meat and poultry (carcass weight): Per capita availability,1955,"U.S. population, July 1-Millions",165.275
Red meat and poultry (carcass weight): Per capita availability,1956,"U.S. population, July 1-Millions",168.221
Red meat and poultry (carcass weight): Per capita availability,1957,"U.S. population, July 1-Millions",171.274
Red meat and poultry (carcass weight): Per capita availability,1958,"U.S. population, July 1-Millions",174.141
Red meat and poultry (carcass weight): Per capita availability,1959,"U.S. population, July 1-Millions",177.073
Red meat and poultry (carcass weight): Per capita availability,1960,"U.S. population, July 1-Millions",180.671
Red meat and poultry (carcass weight): Per capita availability,1961,"U.S. population, July 1-Millions",183.691
Red meat and poultry (carcass weight): Per capita availability,1962,"U.S. population, July 1-Millions",186.538
Red meat and poultry (carcass weight): Per capita availability,1963,"U.S. population, July 1-Millions",189.242
Red meat and poultry (carcass weight): Per capita availability,1964,"U.S. population, July 1-Millions",191.889
Red meat and poultry (carcass weight): Per capita availability,1965,"U.S. population, July 1-Millions",194.303
Red meat and poultry (carcass weight): Per capita availability,1966,"U.S. population, July 1-Millions",196.56
Red meat and poultry (carcass weight): Per capita availability,1967,"U.S. population, July 1-Millions",198.712
Red meat and poultry (carcass weight): Per capita availability,1968,"U.S. population, July 1-Millions",200.706
Red meat and poultry (carcass weight): Per capita availability,1969,"U.S. population, July 1-Millions",202.677
Red meat and poultry (carcass weight): Per capita availability,1970,"U.S. population, July 1-Millions",205.052
Red meat and poultry (carcass weight): Per capita availability,1971,"U.S. population, July 1-Millions",207.661
Red meat and poultry (carcass weight): Per capita availability,1972,"U.S. population, July 1-Millions",209.896
Red meat and poultry (carcass weight): Per capita availability,1973,"U.S. population, July 1-Millions",211.909
Red meat and poultry (carcass weight): Per capita availability,1974,"U.S. population, July 1-Millions",213.854
Red meat and poultry (carcass weight): Per capita availability,1975,"U.S. population, July 1-Millions",215.973
Red meat and poultry (carcass weight): Per capita availability,1976,"U.S. population, July 1-Millions",218.035
Red meat and poultry (carcass weight): Per capita availability,1977,"U.S. population, July 1-Millions",220.239
Red meat and poultry (carcass weight): Per capita availability,1978,"U.S. population, July 1-Millions",222.585
Red meat and poultry (carcass weight): Per capita availability,1979,"U.S. population, July 1-Millions",225.055
Red meat and poultry (carcass weight): Per capita availability,1980,"U.S. population, July 1-Millions",227.726
Red meat and poultry (carcass weight): Per capita availability,1981,"U.S. population, July 1-Millions",229.966
Red meat and poultry (carcass weight): Per capita availability,1982,"U.S. population, July 1-Millions",232.188
Red meat and poultry (carcass weight): Per capita availability,1983,"U.S. population, July 1-Millions",234.307
Red meat and poultry (carcass weight): Per capita availability,1984,"U.S. population, July 1-Millions",236.348
Red meat and poultry (carcass weight): Per capita availability,1985,"U.S. population, July 1-Millions",238.466
Red meat and poultry (carcass weight): Per capita availability,1986,"U.S. population, July 1-Millions",240.651
Red meat and poultry (carcass weight): Per capita availability,1987,"U.S. population, July 1-Millions",242.804
Red meat and poultry (carcass weight): Per capita availability,1988,"U.S. population, July 1-Millions",245.021
Red meat and poultry (carcass weight): Per capita availability,1989,"U.S. population, July 1-Millions",247.342
Red meat and poultry (carcass weight): Per capita availability,1990,"U.S. population, July 1-Millions",250.132
Red meat and poultry (carcass weight): Per capita availability,1991,"U.S. population, July 1-Millions",253.493
Red meat and poultry (carcass weight): Per capita availability,1992,"U.S. population, July 1-Millions",256.894
Red meat and poultry (carcass weight): Per capita availability,1993,"U.S. population, July 1-Millions",260.255
Red meat and poultry (carcass weight): Per capita availability,1994,"U.S. population, July 1-Millions",263.436
Red meat and poultry (carcass weight): Per capita availability,1995,"U.S. population, July 1-Millions",266.557
Red meat and poultry (carcass weight): Per capita availability,1996,"U.S. population, July 1-Millions",269.667
Red meat and poultry (carcass weight): Per capita availability,1997,"U.S. population, July 1-Millions",272.912
Red meat and poultry (carcass weight): Per capita availability,1998,"U.S. population, July 1-Millions",276.115
Red meat and poultry (carcass weight): Per capita availability,1999,"U.S. population, July 1-Millions",279.295
Red meat and poultry (carcass weight): Per capita availability,2000,"U.S. population, July 1-Millions",282.385
Red meat and poultry (carcass weight): Per capita availability,2001,"U.S. population, July 1-Millions",285.309019
Red meat and poultry (carcass weight): Per capita availability,2002,"U.S. population, July 1-Millions",288.104818
Red meat and poultry (carcass weight): Per capita availability,2003,"U.S. population, July 1-Millions",290.819634
Red meat and poultry (carcass weight): Per capita availability,2004,"U.S. population, July 1-Millions",293.463185
Red meat and poultry (carcass weight): Per capita availability,2005,"U.S. population, July 1-Millions",296.186216
Red meat and poultry (carcass weight): Per capita availability,2006,"U.S. population, July 1-Millions",298.995825
Red meat and poultry (carcass weight): Per capita availability,2007,"U.S. population, July 1-Millions",302.003917
Red meat and poultry (carcass weight): Per capita availability,2008,"U.S. population, July 1-Millions",304.797761
Red meat and poultry (carcass weight): Per capita availability,2009,"U.S. population, July 1-Millions",307.439406
Red meat and poultry (carcass weight): Per capita availability,2010,"U.S. population, July 1-Millions",309.741279
Red meat and poultry (carcass weight): Per capita availability,2011,"U.S. population, July 1-Millions",311.973914
Red meat and poultry (carcass weight): Per capita availability,2012,"U.S. population, July 1-Millions",314.167558
Red meat and poultry (carcass weight): Per capita availability,2013,"U.S. population, July 1-Millions",316.294766
Red meat and poultry (carcass weight): Per capita availability,2014,"U.S. population, July 1-Millions",318.576955
Red meat and poultry (carcass weight): Per capita availability,2015,"U.S. population, July 1-Millions",320.870703
Red meat and poultry (carcass weight): Per capita availability,2016,"U.S. population, July 1-Millions",323.161011
Red meat and poultry (carcass weight): Per capita availability,2017,"U.S. population, July 1-Millions",325.20603
Red meat and poultry (carcass weight): Per capita availability,2018,"U.S. population, July 1-Millions",326.923976
Red meat and poultry (carcass weight): Per capita availability,2019,"U.S. population, July 1-Millions",328.475998
Red meat and poultry (carcass weight): Per capita availability,2020,"U.S. population, July 1-Millions",330.11398
Red meat and poultry (carcass weight): Per capita availability,2021,"U.S. population, July 1-Millions",332.140523
Red meat and poultry (carcass weight): Per capita availability,1909,Red meat-Beef-Pounds,74.18499282
Red meat and poultry (carcass weight): Per capita availability,1910,Red meat-Beef-Pounds,70.42756501
Red meat and poultry (carcass weight): Per capita availability,1911,Red meat-Beef-Pounds,68.46148109
Red meat and poultry (carcass weight): Per capita availability,1912,Red meat-Beef-Pounds,64.54082971
Red meat and poultry (carcass weight): Per capita availability,1913,Red meat-Beef-Pounds,63.3273335
Red meat and poultry (carcass weight): Per capita availability,1914,Red meat-Beef-Pounds,61.99110089
Red meat and poultry (carcass weight): Per capita availability,1915,Red meat-Beef-Pounds,56.37220775
Red meat and poultry (carcass weight): Per capita availability,1916,Red meat-Beef-Pounds,58.87545238
Red meat and poultry (carcass weight): Per capita availability,1917,Red meat-Beef-Pounds,64.66242482
Red meat and poultry (carcass weight): Per capita availability,1918,Red meat-Beef-Pounds,68.55093257
Red meat and poultry (carcass weight): Per capita availability,1919,Red meat-Beef-Pounds,61.50595357
Red meat and poultry (carcass weight): Per capita availability,1920,Red meat-Beef-Pounds,59.1108481
Red meat and poultry (carcass weight): Per capita availability,1921,Red meat-Beef-Pounds,55.50129908
Red meat and poultry (carcass weight): Per capita availability,1922,Red meat-Beef-Pounds,59.09185908
Red meat and poultry (carcass weight): Per capita availability,1923,Red meat-Beef-Pounds,59.59069917
Red meat and poultry (carcass weight): Per capita availability,1924,Red meat-Beef-Pounds,59.46945464
Red meat and poultry (carcass weight): Per capita availability,1925,Red meat-Beef-Pounds,59.46697287
Red meat and poultry (carcass weight): Per capita availability,1926,Red meat-Beef-Pounds,60.25707642
Red meat and poultry (carcass weight): Per capita availability,1927,Red meat-Beef-Pounds,54.47137397
Red meat and poultry (carcass weight): Per capita availability,1928,Red meat-Beef-Pounds,48.72665112
Red meat and poultry (carcass weight): Per capita availability,1929,Red meat-Beef-Pounds,49.66862943
Red meat and poultry (carcass weight): Per capita availability,1930,Red meat-Beef-Pounds,48.87651395
Red meat and poultry (carcass weight): Per capita availability,1931,Red meat-Beef-Pounds,48.53039493
Red meat and poultry (carcass weight): Per capita availability,1932,Red meat-Beef-Pounds,46.65903689
Red meat and poultry (carcass weight): Per capita availability,1933,Red meat-Beef-Pounds,51.46789721
Red meat and poultry (carcass weight): Per capita availability,1934,Red meat-Beef-Pounds,63.77040756
Red meat and poultry (carcass weight): Per capita availability,1935,Red meat-Beef-Pounds,53.15557231
Red meat and poultry (carcass weight): Per capita availability,1936,Red meat-Beef-Pounds,60.39896709
Red meat and poultry (carcass weight): Per capita availability,1937,Red meat-Beef-Pounds,55.10968432
Red meat and poultry (carcass weight): Per capita availability,1938,Red meat-Beef-Pounds,54.30525741
Red meat and poultry (carcass weight): Per capita availability,1939,Red meat-Beef-Pounds,54.63717679
Red meat and poultry (carcass weight): Per capita availability,1940,Red meat-Beef-Pounds,54.92650732
Red meat and poultry (carcass weight): Per capita availability,1941,Red meat-Beef-Pounds,61.89562375
Red meat and poultry (carcass weight): Per capita availability,1942,Red meat-Beef-Pounds,66.68396856
Red meat and poultry (carcass weight): Per capita availability,1943,Red meat-Beef-Pounds,62.37430433
Red meat and poultry (carcass weight): Per capita availability,1944,Red meat-Beef-Pounds,67.57371908
Red meat and poultry (carcass weight): Per capita availability,1945,Red meat-Beef-Pounds,69.61437311
Red meat and poultry (carcass weight): Per capita availability,1946,Red meat-Beef-Pounds,64.21998883
Red meat and poultry (carcass weight): Per capita availability,1947,Red meat-Beef-Pounds,71.47912243
Red meat and poultry (carcass weight): Per capita availability,1948,Red meat-Beef-Pounds,64.12013831
Red meat and poultry (carcass weight): Per capita availability,1949,Red meat-Beef-Pounds,64.93149583
Red meat and poultry (carcass weight): Per capita availability,1950,Red meat-Beef-Pounds,64.77281717
Red meat and poultry (carcass weight): Per capita availability,1951,Red meat-Beef-Pounds,59.75876127
Red meat and poultry (carcass weight): Per capita availability,1952,Red meat-Beef-Pounds,63.75116276
Red meat and poultry (carcass weight): Per capita availability,1953,Red meat-Beef-Pounds,79.17149751
Red meat and poultry (carcass weight): Per capita availability,1954,Red meat-Beef-Pounds,81.24218707
Red meat and poultry (carcass weight): Per capita availability,1955,Red meat-Beef-Pounds,82.9889578
Red meat and poultry (carcass weight): Per capita availability,1956,Red meat-Beef-Pounds,86.34474887
Red meat and poultry (carcass weight): Per capita availability,1957,Red meat-Beef-Pounds,85.18514194
Red meat and poultry (carcass weight): Per capita availability,1958,Red meat-Beef-Pounds,81.1928265
Red meat and poultry (carcass weight): Per capita availability,1959,Red meat-Beef-Pounds,82.15820594
Red meat and poultry (carcass weight): Per capita availability,1960,Red meat-Beef-Pounds,85.73595098
Red meat and poultry (carcass weight): Per capita availability,1961,Red meat-Beef-Pounds,88.51821809
Red meat and poultry (carcass weight): Per capita availability,1962,Red meat-Beef-Pounds,89.50455135
Red meat and poultry (carcass weight): Per capita availability,1963,Red meat-Beef-Pounds,94.90493654
Red meat and poultry (carcass weight): Per capita availability,1964,Red meat-Beef-Pounds,101.0792698
Red meat and poultry (carcass weight): Per capita availability,1965,Red meat-Beef-Pounds,100.9299908
Red meat and poultry (carcass weight): Per capita availability,1966,Red meat-Beef-Pounds,105.5510277
Red meat and poultry (carcass weight): Per capita availability,1967,Red meat-Beef-Pounds,107.8992864
Red meat and poultry (carcass weight): Per capita availability,1968,Red meat-Beef-Pounds,110.7947844
Red meat and poultry (carcass weight): Per capita availability,1969,Red meat-Beef-Pounds,111.5153767
Red meat and poultry (carcass weight): Per capita availability,1970,Red meat-Beef-Pounds,114.3640394
Red meat and poultry (carcass weight): Per capita availability,1971,Red meat-Beef-Pounds,113.4313824
Red meat and poultry (carcass weight): Per capita availability,1972,Red meat-Beef-Pounds,115.2597684
Red meat and poultry (carcass weight): Per capita availability,1973,Red meat-Beef-Pounds,108.8125477
Red meat and poultry (carcass weight): Per capita availability,1974,Red meat-Beef-Pounds,115.6848998
Red meat and poultry (carcass weight): Per capita availability,1975,Red meat-Beef-Pounds,119.1336545
Red meat and poultry (carcass weight): Per capita availability,1976,Red meat-Beef-Pounds,127.1968574
Red meat and poultry (carcass weight): Per capita availability,1977,Red meat-Beef-Pounds,123.7097154
Red meat and poultry (carcass weight): Per capita availability,1978,Red meat-Beef-Pounds,117.738655
Red meat and poultry (carcass weight): Per capita availability,1979,Red meat-Beef-Pounds,105.3340682
Red meat and poultry (carcass weight): Per capita availability,1980,Red meat-Beef-Pounds,103.2522312
Red meat and poultry (carcass weight): Per capita availability,1981,Red meat-Beef-Pounds,104.2637092
Red meat and poultry (carcass weight): Per capita availability,1982,Red meat-Beef-Pounds,103.8732715
Red meat and poultry (carcass weight): Per capita availability,1983,Red meat-Beef-Pounds,106.1178294
Red meat and poultry (carcass weight): Per capita availability,1984,Red meat-Beef-Pounds,105.7823351
Red meat and poultry (carcass weight): Per capita availability,1985,Red meat-Beef-Pounds,106.8180854
Red meat and poultry (carcass weight): Per capita availability,1986,Red meat-Beef-Pounds,107.7724016
Red meat and poultry (carcass weight): Per capita availability,1987,Red meat-Beef-Pounds,103.8037807
Red meat and poultry (carcass weight): Per capita availability,1988,Red meat-Beef-Pounds,102.7985812
Red meat and poultry (carcass weight): Per capita availability,1989,Red meat-Beef-Pounds,97.66676429
Red meat and poultry (carcass weight): Per capita availability,1990,Red meat-Beef-Pounds,95.79493066
Red meat and poultry (carcass weight): Per capita availability,1991,Red meat-Beef-Pounds,94.8579537
Red meat and poultry (carcass weight): Per capita availability,1992,Red meat-Beef-Pounds,94.14654131
Red meat and poultry (carcass weight): Per capita availability,1993,Red meat-Beef-Pounds,92.00516532
Red meat and poultry (carcass weight): Per capita availability,1994,Red meat-Beef-Pounds,95.16616369
Red meat and poultry (carcass weight): Per capita availability,1995,Red meat-Beef-Pounds,95.54193299
Red meat and poultry (carcass weight): Per capita availability,1996,Red meat-Beef-Pounds,95.69076089
Red meat and poultry (carcass weight): Per capita availability,1997,Red meat-Beef-Pounds,93.61628985
Red meat and poultry (carcass weight): Per capita availability,1998,Red meat-Beef-Pounds,95.01117693
Red meat and poultry (carcass weight): Per capita availability,1999,Red meat-Beef-Pounds,96.16136773
Red meat and poultry (carcass weight): Per capita availability,2000,Red meat-Beef-Pounds,96.48583636
Red meat and poultry (carcass weight): Per capita availability,2001,Red meat-Beef-Pounds,94.34736411
Red meat and poultry (carcass weight): Per capita availability,2002,Red meat-Beef-Pounds,96.42981396
Red meat and poultry (carcass weight): Per capita availability,2003,Red meat-Beef-Pounds,92.59231101
Red meat and poultry (carcass weight): Per capita availability,2004,Red meat-Beef-Pounds,94.19552234
Red meat and poultry (carcass weight): Per capita availability,2005,Red meat-Beef-Pounds,93.38353064
Red meat and poultry (carcass weight): Per capita availability,2006,Red meat-Beef-Pounds,93.82993128
Red meat and poultry (carcass weight): Per capita availability,2007,Red meat-Beef-Pounds,92.85439829
Red meat and poultry (carcass weight): Per capita availability,2008,Red meat-Beef-Pounds,88.76164832
Red meat and poultry (carcass weight): Per capita availability,2009,Red meat-Beef-Pounds,86.81698457
Red meat and poultry (carcass weight): Per capita availability,2010,Red meat-Beef-Pounds,84.71531133
Red meat and poultry (carcass weight): Per capita availability,2011,Red meat-Beef-Pounds,81.34384096
Red meat and poultry (carcass weight): Per capita availability,2012,Red meat-Beef-Pounds,81.52380646
Red meat and poultry (carcass weight): Per capita availability,2013,Red meat-Beef-Pounds,80.1049415
Red meat and poultry (carcass weight): Per capita availability,2014,Red meat-Beef-Pounds,77.06524664
Red meat and poultry (carcass weight): Per capita availability,2015,Red meat-Beef-Pounds,76.87002213
Red meat and poultry (carcass weight): Per capita availability,2016,Red meat-Beef-Pounds,79.13275699
Red meat and poultry (carcass weight): Per capita availability,2017,Red meat-Beef-Pounds,81.18867063
Red meat and poultry (carcass weight): Per capita availability,2018,Red meat-Beef-Pounds,81.58059977
Red meat and poultry (carcass weight): Per capita availability,2019,Red meat-Beef-Pounds,82.74897124
Red meat and poultry (carcass weight): Per capita availability,2020,Red meat-Beef-Pounds,83.26235887
Red meat and poultry (carcass weight): Per capita availability,2021,Red meat-Beef-Pounds,83.97255382
Red meat and poultry (carcass weight): Per capita availability,1909,Red meat-Veal-Pounds,7.293623605
Red meat and poultry (carcass weight): Per capita availability,1910,Red meat-Veal-Pounds,7.218067895
Red meat and poultry (carcass weight): Per capita availability,1911,Red meat-Veal-Pounds,7.09544762
Red meat and poultry (carcass weight): Per capita availability,1912,Red meat-Veal-Pounds,6.943934547
Red meat and poultry (carcass weight): Per capita availability,1913,Red meat-Veal-Pounds,6.263821034
Red meat and poultry (carcass weight): Per capita availability,1914,Red meat-Veal-Pounds,5.771306919
Red meat and poultry (carcass weight): Per capita availability,1915,Red meat-Veal-Pounds,5.87790663
Red meat and poultry (carcass weight): Per capita availability,1916,Red meat-Veal-Pounds,6.433832544
Red meat and poultry (carcass weight): Per capita availability,1917,Red meat-Veal-Pounds,7.20405361
Red meat and poultry (carcass weight): Per capita availability,1918,Red meat-Veal-Pounds,7.278813965
Red meat and poultry (carcass weight): Per capita availability,1919,Red meat-Veal-Pounds,7.8429133
Red meat and poultry (carcass weight): Per capita availability,1920,Red meat-Veal-Pounds,8.002930651
Red meat and poultry (carcass weight): Per capita availability,1921,Red meat-Veal-Pounds,7.591811163
Red meat and poultry (carcass weight): Per capita availability,1922,Red meat-Veal-Pounds,7.796527002
Red meat and poultry (carcass weight): Per capita availability,1923,Red meat-Veal-Pounds,8.209241873
Red meat and poultry (carcass weight): Per capita availability,1924,Red meat-Veal-Pounds,8.561988975
Red meat and poultry (carcass weight): Per capita availability,1925,Red meat-Veal-Pounds,8.572982586
Red meat and poultry (carcass weight): Per capita availability,1926,Red meat-Veal-Pounds,8.168862918
Red meat and poultry (carcass weight): Per capita availability,1927,Red meat-Veal-Pounds,7.350779183
Red meat and poultry (carcass weight): Per capita availability,1928,Red meat-Veal-Pounds,6.480843754
Red meat and poultry (carcass weight): Per capita availability,1929,Red meat-Veal-Pounds,6.290702736
Red meat and poultry (carcass weight): Per capita availability,1930,Red meat-Veal-Pounds,6.445432997
Red meat and poultry (carcass weight): Per capita availability,1931,Red meat-Veal-Pounds,6.637185962
Red meat and poultry (carcass weight): Per capita availability,1932,Red meat-Veal-Pounds,6.578684103
Red meat and poultry (carcass weight): Per capita availability,1933,Red meat-Veal-Pounds,7.088869441
Red meat and poultry (carcass weight): Per capita availability,1934,Red meat-Veal-Pounds,9.344981618
Red meat and poultry (carcass weight): Per capita availability,1935,Red meat-Veal-Pounds,8.534727784
Red meat and poultry (carcass weight): Per capita availability,1936,Red meat-Veal-Pounds,8.386578354
Red meat and poultry (carcass weight): Per capita availability,1937,Red meat-Veal-Pounds,8.591744791
Red meat and poultry (carcass weight): Per capita availability,1938,Red meat-Veal-Pounds,7.647977595
Red meat and poultry (carcass weight): Per capita availability,1939,Red meat-Veal-Pounds,7.56326892
Red meat and poultry (carcass weight): Per capita availability,1940,Red meat-Veal-Pounds,7.424955723
Red meat and poultry (carcass weight): Per capita availability,1941,Red meat-Veal-Pounds,7.728519812
Red meat and poultry (carcass weight): Per capita availability,1942,Red meat-Veal-Pounds,8.519946611
Red meat and poultry (carcass weight): Per capita availability,1943,Red meat-Veal-Pounds,8.337050878
Red meat and poultry (carcass weight): Per capita availability,1944,Red meat-Veal-Pounds,12.31963121
Red meat and poultry (carcass weight): Per capita availability,1945,Red meat-Veal-Pounds,11.7631925
Red meat and poultry (carcass weight): Per capita availability,1946,Red meat-Veal-Pounds,10.13515903
Red meat and poultry (carcass weight): Per capita availability,1947,Red meat-Veal-Pounds,10.95569155
Red meat and poultry (carcass weight): Per capita availability,1948,Red meat-Veal-Pounds,9.711452558
Red meat and poultry (carcass weight): Per capita availability,1949,Red meat-Veal-Pounds,9.008767461
Red meat and poultry (carcass weight): Per capita availability,1950,Red meat-Veal-Pounds,8.174889903
Red meat and poultry (carcass weight): Per capita availability,1951,Red meat-Veal-Pounds,6.909201683
Red meat and poultry (carcass weight): Per capita availability,1952,Red meat-Veal-Pounds,7.397071754
Red meat and poultry (carcass weight): Per capita availability,1953,Red meat-Veal-Pounds,9.695108576
Red meat and poultry (carcass weight): Per capita availability,1954,Red meat-Veal-Pounds,10.13602971
Red meat and poultry (carcass weight): Per capita availability,1955,Red meat-Veal-Pounds,9.541672969
Red meat and poultry (carcass weight): Per capita availability,1956,Red meat-Veal-Pounds,9.648022542
Red meat and poultry (carcass weight): Per capita availability,1957,Red meat-Veal-Pounds,8.92721604
Red meat and poultry (carcass weight): Per capita availability,1958,Red meat-Veal-Pounds,6.856512826
Red meat and poultry (carcass weight): Per capita availability,1959,Red meat-Veal-Pounds,5.805515239
Red meat and poultry (carcass weight): Per capita availability,1960,Red meat-Veal-Pounds,6.18804346
Red meat and poultry (carcass weight): Per capita availability,1961,Red meat-Veal-Pounds,5.776004268
Red meat and poultry (carcass weight): Per capita availability,1962,Red meat-Veal-Pounds,5.56454985
Red meat and poultry (carcass weight): Per capita availability,1963,Red meat-Veal-Pounds,5.030595745
Red meat and poultry (carcass weight): Per capita availability,1964,Red meat-Veal-Pounds,5.341629796
Red meat and poultry (carcass weight): Per capita availability,1965,Red meat-Veal-Pounds,5.331878561
Red meat and poultry (carcass weight): Per capita availability,1966,Red meat-Veal-Pounds,4.715990028
Red meat and poultry (carcass weight): Per capita availability,1967,Red meat-Veal-Pounds,4.026077942
Red meat and poultry (carcass weight): Per capita availability,1968,Red meat-Veal-Pounds,3.742309647
Red meat and poultry (carcass weight): Per capita availability,1969,Red meat-Veal-Pounds,3.407130557
Red meat and poultry (carcass weight): Per capita availability,1970,Red meat-Veal-Pounds,2.987875207
Red meat and poultry (carcass weight): Per capita availability,1971,Red meat-Veal-Pounds,2.730420353
Red meat and poultry (carcass weight): Per capita availability,1972,Red meat-Veal-Pounds,2.326728642
Red meat and poultry (carcass weight): Per capita availability,1973,Red meat-Veal-Pounds,1.81962407
Red meat and poultry (carcass weight): Per capita availability,1974,Red meat-Veal-Pounds,2.393731242
Red meat and poultry (carcass weight): Per capita availability,1975,Red meat-Veal-Pounds,4.156880726
Red meat and poultry (carcass weight): Per capita availability,1976,Red meat-Veal-Pounds,3.956387736
Red meat and poultry (carcass weight): Per capita availability,1977,Red meat-Veal-Pounds,3.835389736
Red meat and poultry (carcass weight): Per capita availability,1978,Red meat-Veal-Pounds,2.926827504
Red meat and poultry (carcass weight): Per capita availability,1979,Red meat-Veal-Pounds,2.025248495
Red meat and poultry (carcass weight): Per capita availability,1980,Red meat-Veal-Pounds,1.840522382
Red meat and poultry (carcass weight): Per capita availability,1981,Red meat-Veal-Pounds,1.958763469
Red meat and poultry (carcass weight): Per capita availability,1982,Red meat-Veal-Pounds,2.002202095
Red meat and poultry (carcass weight): Per capita availability,1983,Red meat-Veal-Pounds,1.983600443
Red meat and poultry (carcass weight): Per capita availability,1984,Red meat-Veal-Pounds,2.147943312
Red meat and poultry (carcass weight): Per capita availability,1985,Red meat-Veal-Pounds,2.232993521
Red meat and poultry (carcass weight): Per capita availability,1986,Red meat-Veal-Pounds,2.283176667
Red meat and poultry (carcass weight): Per capita availability,1987,Red meat-Veal-Pounds,1.848449778
Red meat and poultry (carcass weight): Per capita availability,1988,Red meat-Veal-Pounds,1.672170957
Red meat and poultry (carcass weight): Per capita availability,1989,Red meat-Veal-Pounds,1.441352459
Red meat and poultry (carcass weight): Per capita availability,1990,Red meat-Veal-Pounds,1.301009067
Red meat and poultry (carcass weight): Per capita availability,1991,Red meat-Veal-Pounds,1.20245924
Red meat and poultry (carcass weight): Per capita availability,1992,Red meat-Veal-Pounds,1.212433922
Red meat and poultry (carcass weight): Per capita availability,1993,Red meat-Veal-Pounds,1.097919348
Red meat and poultry (carcass weight): Per capita availability,1994,Red meat-Veal-Pounds,1.103820283
