STRUCTURE_NAME,Tipo,Valor,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,SequenciaTipo,SequenciaValor,Attribute,qryNacional.X,Y,X
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,BE,Belgium,2024,39.5,7,11,Inicio,18.2,918,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,BE,Belgium,2024,39.5,7,11,Fim,18.2,917,39.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,BE,Belgium,2024,13.5,7,12,Inicio,18.2,916,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,BE,Belgium,2024,13.5,7,12,Fim,18.2,915,13.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,BE,Belgium,2024,14.5,7,13,Inicio,18.2,914,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,BE,Belgium,2024,14.5,7,13,Fim,18.2,913,14.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,BE,Belgium,2024,15,7,14,Inicio,18.2,912,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,BE,Belgium,2024,15,7,14,Fim,18.2,911,15
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,BE,Belgium,2024,9.5,7,15,Inicio,18.2,910,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,BE,Belgium,2024,9.5,7,15,Fim,18.2,909,9.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,BE,Belgium,2024,21.2,7,16,Inicio,18.2,908,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,BE,Belgium,2024,21.2,7,16,Fim,18.2,907,21.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,BE,Belgium,2024,13.1,7,17,Inicio,18.2,906,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,BE,Belgium,2024,13.1,7,17,Fim,18.2,905,13.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,BE,Belgium,2024,15.5,7,18,Inicio,18.2,904,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,BE,Belgium,2024,15.5,7,18,Fim,18.2,903,15.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,BG,Bulgaria,2024,43.9,7,1,Inicio,30.3,938,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,BG,Bulgaria,2024,43.9,7,1,Fim,30.3,937,43.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,BG,Bulgaria,2024,33.3,7,2,Inicio,30.3,936,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,BG,Bulgaria,2024,33.3,7,2,Fim,30.3,935,33.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,BG,Bulgaria,2024,51.4,7,3,Inicio,30.3,934,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,BG,Bulgaria,2024,51.4,7,3,Fim,30.3,933,51.4
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,BG,Bulgaria,2024,46.4,7,4,Inicio,30.3,932,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,BG,Bulgaria,2024,46.4,7,4,Fim,30.3,931,46.4
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,BG,Bulgaria,2024,40.3,7,5,Inicio,30.3,930,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,BG,Bulgaria,2024,40.3,7,5,Fim,30.3,929,40.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,BG,Bulgaria,2024,24.6,7,6,Inicio,30.3,928,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,BG,Bulgaria,2024,24.6,7,6,Fim,30.3,927,24.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,BG,Bulgaria,2024,21.4,7,7,Inicio,30.3,926,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,BG,Bulgaria,2024,21.4,7,7,Fim,30.3,925,21.4
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",BG,Bulgaria,2024,27.2,7,8,Inicio,30.3,924,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",BG,Bulgaria,2024,27.2,7,8,Fim,30.3,923,27.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,BG,Bulgaria,2024,29.8,7,9,Inicio,30.3,922,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,BG,Bulgaria,2024,29.8,7,9,Fim,30.3,921,29.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,BG,Bulgaria,2024,30.8,7,10,Inicio,30.3,920,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,BG,Bulgaria,2024,30.8,7,10,Fim,30.3,919,30.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,BG,Bulgaria,2024,53,7,11,Inicio,30.3,918,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,BG,Bulgaria,2024,53,7,11,Fim,30.3,917,53
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,BG,Bulgaria,2024,22,7,12,Inicio,30.3,916,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,BG,Bulgaria,2024,22,7,12,Fim,30.3,915,22
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,BG,Bulgaria,2024,28.8,7,13,Inicio,30.3,914,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,BG,Bulgaria,2024,28.8,7,13,Fim,30.3,913,28.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,BG,Bulgaria,2024,22.1,7,14,Inicio,30.3,912,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,BG,Bulgaria,2024,22.1,7,14,Fim,30.3,911,22.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,BG,Bulgaria,2024,26.6,7,15,Inicio,30.3,910,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,BG,Bulgaria,2024,26.6,7,15,Fim,30.3,909,26.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,BG,Bulgaria,2024,56.2,7,16,Inicio,30.3,908,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,BG,Bulgaria,2024,56.2,7,16,Fim,30.3,907,56.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,BG,Bulgaria,2024,17.2,7,17,Inicio,30.3,906,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,BG,Bulgaria,2024,17.2,7,17,Fim,30.3,905,17.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,BG,Bulgaria,2024,30.1,7,18,Inicio,30.3,904,30.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,BG,Bulgaria,2024,30.1,7,18,Fim,30.3,903,30.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,HR,Croatia,2024,52.8,7,1,Inicio,21.7,938,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,HR,Croatia,2024,52.8,7,1,Fim,21.7,937,52.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,HR,Croatia,2024,36.6,7,2,Inicio,21.7,936,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,HR,Croatia,2024,36.6,7,2,Fim,21.7,935,36.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,HR,Croatia,2024,62.2,7,3,Inicio,21.7,934,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,HR,Croatia,2024,62.2,7,3,Fim,21.7,933,62.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,HR,Croatia,2024,58.3,7,4,Inicio,21.7,932,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,HR,Croatia,2024,58.3,7,4,Fim,21.7,931,58.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,HR,Croatia,2024,44,7,5,Inicio,21.7,930,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,HR,Croatia,2024,44,7,5,Fim,21.7,929,44
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,HR,Croatia,2024,29.2,7,6,Inicio,21.7,928,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,HR,Croatia,2024,29.2,7,6,Fim,21.7,927,29.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,HR,Croatia,2024,14.6,7,7,Inicio,21.7,926,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,HR,Croatia,2024,14.6,7,7,Fim,21.7,925,14.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",HR,Croatia,2024,37.6,7,8,Inicio,21.7,924,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",HR,Croatia,2024,37.6,7,8,Fim,21.7,923,37.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,HR,Croatia,2024,26.9,7,9,Inicio,21.7,922,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,HR,Croatia,2024,26.9,7,9,Fim,21.7,921,26.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,HR,Croatia,2024,16.6,7,10,Inicio,21.7,920,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,HR,Croatia,2024,16.6,7,10,Fim,21.7,919,16.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,HR,Croatia,2024,31.9,7,11,Inicio,21.7,918,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,HR,Croatia,2024,31.9,7,11,Fim,21.7,917,31.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,HR,Croatia,2024,20.1,7,12,Inicio,21.7,916,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,HR,Croatia,2024,20.1,7,12,Fim,21.7,915,20.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,HR,Croatia,2024,16,7,13,Inicio,21.7,914,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,HR,Croatia,2024,16,7,13,Fim,21.7,913,16
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,HR,Croatia,2024,15.8,7,14,Inicio,21.7,912,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,HR,Croatia,2024,15.8,7,14,Fim,21.7,911,15.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,HR,Croatia,2024,13.7,7,15,Inicio,21.7,910,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,HR,Croatia,2024,13.7,7,15,Fim,21.7,909,13.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,HR,Croatia,2024,24,7,16,Inicio,21.7,908,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,HR,Croatia,2024,24,7,16,Fim,21.7,907,24
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,HR,Croatia,2024,11.4,7,17,Inicio,21.7,906,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,HR,Croatia,2024,11.4,7,17,Fim,21.7,905,11.4
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,HR,Croatia,2024,13.9,7,18,Inicio,21.7,904,21.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,HR,Croatia,2024,13.9,7,18,Fim,21.7,903,13.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,CY,Cyprus,2024,31.8,7,1,Inicio,17.1,938,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,CY,Cyprus,2024,31.8,7,1,Fim,17.1,937,31.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,CY,Cyprus,2024,25.3,7,2,Inicio,17.1,936,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,CY,Cyprus,2024,25.3,7,2,Fim,17.1,935,25.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,CY,Cyprus,2024,45.1,7,3,Inicio,17.1,934,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,CY,Cyprus,2024,45.1,7,3,Fim,17.1,933,45.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,CY,Cyprus,2024,38.8,7,4,Inicio,17.1,932,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,CY,Cyprus,2024,38.8,7,4,Fim,17.1,931,38.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,CY,Cyprus,2024,25.6,7,5,Inicio,17.1,930,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,CY,Cyprus,2024,25.6,7,5,Fim,17.1,929,25.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,CY,Cyprus,2024,23.8,7,6,Inicio,17.1,928,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,CY,Cyprus,2024,23.8,7,6,Fim,17.1,927,23.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,CY,Cyprus,2024,11.5,7,7,Inicio,17.1,926,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,CY,Cyprus,2024,11.5,7,7,Fim,17.1,925,11.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",CY,Cyprus,2024,34,7,8,Inicio,17.1,924,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",CY,Cyprus,2024,34,7,8,Fim,17.1,923,34
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,CY,Cyprus,2024,21.6,7,9,Inicio,17.1,922,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,CY,Cyprus,2024,21.6,7,9,Fim,17.1,921,21.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,CY,Cyprus,2024,12.7,7,10,Inicio,17.1,920,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,CY,Cyprus,2024,12.7,7,10,Fim,17.1,919,12.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,CY,Cyprus,2024,24.6,7,11,Inicio,17.1,918,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,CY,Cyprus,2024,24.6,7,11,Fim,17.1,917,24.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,CY,Cyprus,2024,19.1,7,12,Inicio,17.1,916,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,CY,Cyprus,2024,19.1,7,12,Fim,17.1,915,19.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,CY,Cyprus,2024,11.6,7,13,Inicio,17.1,914,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,CY,Cyprus,2024,11.6,7,13,Fim,17.1,913,11.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,CY,Cyprus,2024,9,7,14,Inicio,17.1,912,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,CY,Cyprus,2024,9,7,14,Fim,17.1,911,9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,CY,Cyprus,2024,10.5,7,15,Inicio,17.1,910,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,CY,Cyprus,2024,10.5,7,15,Fim,17.1,909,10.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,CY,Cyprus,2024,17.6,7,16,Inicio,17.1,908,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,CY,Cyprus,2024,17.6,7,16,Fim,17.1,907,17.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,CY,Cyprus,2024,11,7,17,Inicio,17.1,906,17.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,CY,Cyprus,2024,11,7,17,Fim,17.1,905,11
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,CY,Cyprus,2024,11.6,7,18,Inicio,17.1,904,17.1
