Ano,Pais,Sexo,GrupoEtario,NivelEnsino,Valor
2000,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),4.2
2001,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),6.3
2001,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),3.2
2001,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),10.1
2001,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),7.6
2001,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),6.1
2001,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),5.4
2001,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),9.4
2001,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),7.3
2001,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),18
2001,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),11.3
2001,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),7.4
2001,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),4.3
2002,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),6.1
2002,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),3.1
2002,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),10.4
2002,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),6.5
2002,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),6.7
2002,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),4.5
2002,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),10.1
2002,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),8.7
2002,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),20.2
2002,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),11
2002,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),7.7
2002,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),4.6
2003,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),7.3
2003,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),2.8
2003,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),12
2003,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),8.6
2003,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),7.5
2003,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),5.6
2003,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),11.5
2003,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),9.1
2003,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),21.4
2003,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),13.6
2003,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),9.2
2003,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),5.2
2004,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),8.6
2004,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),3.6
2004,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),13.6
2004,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),10.4
2004,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),8.6
2004,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),6.7
2004,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),13
2004,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),10.7
2004,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),23.1
2004,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),15.1
2004,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),11.1
2004,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),6.7
2005,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),8.8
2005,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),2.4
2005,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),14.1
2005,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),10.3
2005,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),9.2
2005,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),7.5
2005,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),13.3
2005,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),10.9
2005,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),23.9
2005,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),14.9
2005,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),11.4
2005,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),7.2
2006,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),9.4
2006,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),3.1
2006,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),14.8
2006,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),11
2006,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),10
2006,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),7.7
2006,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),13.8
2006,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),10
2006,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),25.1
2006,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),16.5
2006,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),11.5
2006,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),6.8
2007,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),9.4
2007,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),4.8
2007,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),15
2007,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),10.4
2007,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),9.7
2007,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),7.5
2007,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),14.4
2007,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),11.2
2007,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),27.6
2007,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),16.4
2007,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),11.3
2007,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),7.3
2008,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),9.9
2008,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),5.4
2008,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),16.7
2008,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),11.5
2008,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),8.7
2008,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),7.4
2008,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),15.3
2008,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),13.6
2008,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),29.6
2008,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),17.4
2008,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),11.2
2008,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),7.8
2009,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),10.5
2009,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),7.2
2009,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),18
2009,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),11.3
2009,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),9.5
2009,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),7.8
2009,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),15.6
2009,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),14
2009,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),29
2009,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),18.9
2009,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),12.7
2009,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),7
2010,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),10.9
2010,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),8.3
2010,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),18.7
2010,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),12.4
2010,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),8.4
2010,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),8.9
2010,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),16.8
2010,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),14.3
2010,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),32.1
2010,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),19.8
2010,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),12.5
2010,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),9
2011,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),12.7
2011,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),8.7
2011,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),21.8
2011,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),15
2011,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),9.5
2011,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),10.9
2011,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),18.3
2011,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),19.3
2011,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),33.1
2011,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),21.9
2011,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),13.4
2011,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),10.8
2012,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),13.6
2012,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),10.9
2012,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),23.4
2012,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),16
2012,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),11
2012,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),10.7
2012,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),19.7
2012,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),20.1
2012,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),34.2
2012,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),24.4
2012,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),16.3
2012,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),11
2013,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),13.7
2013,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),11.9
2013,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),22.4
2013,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),17.1
2013,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),11.4
2013,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),10.3
2013,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),21.3
2013,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),22.9
2013,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),37.4
2013,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),26.2
2013,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),17.1
2013,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),12.6
2014,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),15.4
2014,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),13.2
2014,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),23.8
2014,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),20.6
2014,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),13.4
2014,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),11.4
2014,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),23.7
2014,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),23.8
2014,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),39.1
2014,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),31.7
2014,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),19.6
2014,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),14.2
2015,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),16.6
2015,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),15.6
2015,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),25.5
2015,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),22.6
2015,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),14.4
2015,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),11.7
2015,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),24.6
2015,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),24
2015,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),40.7
2015,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),35
2015,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),19.6
2015,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),14.1
2016,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),17.3
2016,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),14.2
2016,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),26.9
2016,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),24
2016,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),15.6
2016,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),11.6
2016,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),25.4
2016,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),23.7
2016,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),42.7
2016,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),36.6
2016,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),20.3
2016,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),14.5
2017,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),17.1
2017,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),13.6
2017,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),25.7
2017,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),24
2017,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),16.4
2017,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),11.4
2017,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),26.2
2017,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),27.3
2017,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),42.4
2017,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),37.1
2017,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),22.7
2017,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),14.7
2018,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),17.6
2018,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),14.6
2018,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),25.9
2018,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),25.2
2018,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),16.9
2018,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),11.8
2018,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),27.3
2018,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),26.9
2018,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),44.4
2018,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),38.7
2018,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),23.7
2018,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),16.3
2019,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),19.3
2019,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),16.7
2019,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),30.3
2019,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),26.2
2019,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),18.4
2019,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),13.1
2019,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),28.1
2019,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),28.1
2019,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),45.5
2019,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),40.4
2019,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),24.5
2019,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),16.7
2020,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),19.8
2020,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),15.3
2020,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),34.8
2020,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),24.1
2020,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),19.1
2020,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),13.9
2020,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),29.5
2020,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),29.7
2020,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),48.7
2020,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),40.6
2020,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),26.8
2020,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),17.8
2021,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),20.7
2021,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),18.8
2021,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),37.2
2021,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),24.6
2021,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),20.5
2021,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),12.9
2021,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),31.5
2021,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),35.2
2021,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),54.7
2021,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),41.8
2021,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),29.3
2021,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),17.4
2022,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),21.7
2022,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),20.2
2022,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),35.5
2022,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),28.1
2022,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),21.5
2022,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),13.5
2022,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),31.7
2022,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),33
2022,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),50.5
2022,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),43.3
2022,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),31.4
2022,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),18.5
2023,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),22.6
2023,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),21.6
2023,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),35
2023,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),29.9
2023,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),22.5
2023,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),14.7
2023,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),31.4
2023,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),30.7
2023,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),48.1
2023,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),42.5
2023,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),32.4
2023,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),19.1
2024,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),23.6
2024,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),21.7
2024,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),35
2024,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),31.5
2024,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),23.9
2024,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),16
2024,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),33.4
2024,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),33.8
2024,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),51.5
2024,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),45.4
2024,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),33.8
2024,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),20.3
