Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord
Idade,15-19,DK,Denmark,2024,15,3,2,Inicio,980
Idade,15-19,DK,Denmark,2024,15,3,2,Fim,982
Idade,15-19,EE,Estonia,2024,17.5,3,2,Inicio,980
Idade,15-19,EE,Estonia,2024,17.5,3,2,Fim,982
Idade,15-19,EL,Greece,2024,33.6,3,2,Inicio,980
Idade,15-19,EL,Greece,2024,33.6,3,2,Fim,982
Idade,15-19,ES,Spain,2024,32.3,3,2,Inicio,980
Idade,15-19,ES,Spain,2024,32.3,3,2,Fim,982
Idade,15-19,FI,Finland,2024,20.7,3,2,Inicio,980
Idade,15-19,FI,Finland,2024,20.7,3,2,Fim,982
Idade,15-19,FR,France,2024,29.6,3,2,Inicio,980
Idade,15-19,FR,France,2024,29.6,3,2,Fim,982
Idade,15-19,HR,Croatia,2024,20.6,3,2,Inicio,980
Idade,15-19,HR,Croatia,2024,20.6,3,2,Fim,982
Idade,15-19,HU,Hungary,2024,21.4,3,2,Inicio,980
Idade,15-19,HU,Hungary,2024,21.4,3,2,Fim,982
Idade,15-19,IE,Ireland,2024,17.5,3,2,Inicio,980
Idade,15-19,IE,Ireland,2024,17.5,3,2,Fim,982
Idade,15-19,IT,Italy,2024,26.8,3,2,Inicio,980
Idade,15-19,IT,Italy,2024,26.8,3,2,Fim,982
Idade,15-19,LT,Lithuania,2024,29.5,3,2,Inicio,980
Idade,15-19,LT,Lithuania,2024,29.5,3,2,Fim,982
Idade,15-19,LU,Luxembourg,2024,38.3,3,2,Inicio,980
Idade,15-19,LU,Luxembourg,2024,38.3,3,2,Fim,982
Idade,15-19,LV,Latvia,2024,21.6,3,2,Inicio,980
Idade,15-19,LV,Latvia,2024,21.6,3,2,Fim,982
Idade,15-19,MT,Malta,2024,21.7,3,2,Inicio,980
Idade,15-19,MT,Malta,2024,21.7,3,2,Fim,982
Idade,15-19,NL,Netherlands,2024,17.3,3,2,Inicio,980
Idade,15-19,NL,Netherlands,2024,17.3,3,2,Fim,982
Idade,15-19,NO,Norway,2024,22.5,3,2,Inicio,980
Idade,15-19,NO,Norway,2024,22.5,3,2,Fim,982
Idade,15-19,PL,Poland,2024,19.2,3,2,Inicio,980
Idade,15-19,PL,Poland,2024,19.2,3,2,Fim,982
Idade,15-19,PT,Portugal,2024,23.3,3,2,Inicio,980
Idade,15-19,PT,Portugal,2024,23.3,3,2,Fim,982
Idade,15-19,RO,Romania,2024,35.4,3,2,Inicio,980
Idade,15-19,RO,Romania,2024,35.4,3,2,Fim,982
Idade,15-19,RS,Serbia,2024,30.2,3,2,Inicio,980
Idade,15-19,RS,Serbia,2024,30.2,3,2,Fim,982
Idade,15-19,SE,Sweden,2024,23.3,3,2,Inicio,980
Idade,15-19,SE,Sweden,2024,23.3,3,2,Fim,982
Idade,15-19,SI,Slovenia,2024,12.4,3,2,Inicio,980
Idade,15-19,SI,Slovenia,2024,12.4,3,2,Fim,982
Idade,15-19,SK,Slovakia,2024,23.1,3,2,Inicio,980
Idade,15-19,SK,Slovakia,2024,23.1,3,2,Fim,982
Idade,15-19,TR,Türkiye,2024,37.9,3,2,Inicio,980
Idade,15-19,TR,Türkiye,2024,37.9,3,2,Fim,982
Idade,20-24,AT,Austria,2024,19.4,3,3,Inicio,977
Idade,20-24,AT,Austria,2024,19.4,3,3,Fim,979
Idade,20-24,BE,Belgium,2024,19.9,3,3,Inicio,977
Idade,20-24,BE,Belgium,2024,19.9,3,3,Fim,979
Idade,20-24,BG,Bulgaria,2024,29.8,3,3,Inicio,977
Idade,20-24,BG,Bulgaria,2024,29.8,3,3,Fim,979
Idade,20-24,CY,Cyprus,2024,11.9,3,3,Inicio,977
Idade,20-24,CY,Cyprus,2024,11.9,3,3,Fim,979
Idade,20-24,CZ,Czechia,2024,15.1,3,3,Inicio,977
Idade,20-24,CZ,Czechia,2024,15.1,3,3,Fim,979
Idade,20-24,DE,Germany,2024,31.4,3,3,Inicio,977
Idade,20-24,DE,Germany,2024,31.4,3,3,Fim,979
Idade,20-24,DK,Denmark,2024,43.3,3,3,Inicio,977
Idade,20-24,DK,Denmark,2024,43.3,3,3,Fim,979
Idade,20-24,EE,Estonia,2024,21.2,3,3,Inicio,977
Idade,20-24,EE,Estonia,2024,21.2,3,3,Fim,979
Idade,20-24,EL,Greece,2024,33.7,3,3,Inicio,977
Idade,20-24,EL,Greece,2024,33.7,3,3,Fim,979
Idade,20-24,ES,Spain,2024,25.5,3,3,Inicio,977
Idade,20-24,ES,Spain,2024,25.5,3,3,Fim,979
Idade,20-24,FI,Finland,2024,39.2,3,3,Inicio,977
Idade,20-24,FI,Finland,2024,39.2,3,3,Fim,979
Idade,20-24,FR,France,2024,25.5,3,3,Inicio,977
Idade,20-24,FR,France,2024,25.5,3,3,Fim,979
Idade,20-24,HR,Croatia,2024,11.2,3,3,Inicio,977
Idade,20-24,HR,Croatia,2024,11.2,3,3,Fim,979
Idade,20-24,HU,Hungary,2024,19.7,3,3,Inicio,977
Idade,20-24,HU,Hungary,2024,19.7,3,3,Fim,979
Idade,20-24,IE,Ireland,2024,12.1,3,3,Inicio,977
Idade,20-24,IE,Ireland,2024,12.1,3,3,Fim,979
Idade,20-24,IT,Italy,2024,25,3,3,Inicio,977
Idade,20-24,IT,Italy,2024,25,3,3,Fim,979
Idade,20-24,LT,Lithuania,2024,29,3,3,Inicio,977
Idade,20-24,LT,Lithuania,2024,29,3,3,Fim,979
Idade,20-24,LU,Luxembourg,2024,33.2,3,3,Inicio,977
Idade,20-24,LU,Luxembourg,2024,33.2,3,3,Fim,979
Idade,20-24,LV,Latvia,2024,17.5,3,3,Inicio,977
Idade,20-24,LV,Latvia,2024,17.5,3,3,Fim,979
Idade,20-24,MT,Malta,2024,15.5,3,3,Inicio,977
Idade,20-24,MT,Malta,2024,15.5,3,3,Fim,979
Idade,20-24,NL,Netherlands,2024,29.7,3,3,Inicio,977
Idade,20-24,NL,Netherlands,2024,29.7,3,3,Fim,979
Idade,20-24,NO,Norway,2024,44.4,3,3,Inicio,977
Idade,20-24,NO,Norway,2024,44.4,3,3,Fim,979
Idade,20-24,PL,Poland,2024,20,3,3,Inicio,977
Idade,20-24,PL,Poland,2024,20,3,3,Fim,979
Idade,20-24,PT,Portugal,2024,18.4,3,3,Inicio,977
Idade,20-24,PT,Portugal,2024,18.4,3,3,Fim,979
Idade,20-24,RO,Romania,2024,29,3,3,Inicio,977
Idade,20-24,RO,Romania,2024,29,3,3,Fim,979
Idade,20-24,RS,Serbia,2024,17.6,3,3,Inicio,977
Idade,20-24,RS,Serbia,2024,17.6,3,3,Fim,979
Idade,20-24,SE,Sweden,2024,26.4,3,3,Inicio,977
Idade,20-24,SE,Sweden,2024,26.4,3,3,Fim,979
Idade,20-24,SI,Slovenia,2024,8.4,3,3,Inicio,977
Idade,20-24,SI,Slovenia,2024,8.4,3,3,Fim,979
Idade,20-24,SK,Slovakia,2024,21.2,3,3,Inicio,977
Idade,20-24,SK,Slovakia,2024,21.2,3,3,Fim,979
Idade,20-24,TR,Türkiye,2024,28.3,3,3,Inicio,977
Idade,20-24,TR,Türkiye,2024,28.3,3,3,Fim,979
Idade,25-54,AT,Austria,2024,15.6,3,4,Inicio,974
Idade,25-54,AT,Austria,2024,15.6,3,4,Fim,976
Idade,25-54,BE,Belgium,2024,17.1,3,4,Inicio,974
Idade,25-54,BE,Belgium,2024,17.1,3,4,Fim,976
Idade,25-54,BG,Bulgaria,2024,25.9,3,4,Inicio,974
Idade,25-54,BG,Bulgaria,2024,25.9,3,4,Fim,976
Idade,25-54,CY,Cyprus,2024,13.9,3,4,Inicio,974
Idade,25-54,CY,Cyprus,2024,13.9,3,4,Fim,976
Idade,25-54,CZ,Czechia,2024,9.4,3,4,Inicio,974
Idade,25-54,CZ,Czechia,2024,9.4,3,4,Fim,976
Idade,25-54,DE,Germany,2024,18.8,3,4,Inicio,974
Idade,25-54,DE,Germany,2024,18.8,3,4,Fim,976
Idade,25-54,DK,Denmark,2024,18.8,3,4,Inicio,974
Idade,25-54,DK,Denmark,2024,18.8,3,4,Fim,976
Idade,25-54,EE,Estonia,2024,17.1,3,4,Inicio,974
Idade,25-54,EE,Estonia,2024,17.1,3,4,Fim,976
Idade,25-54,EL,Greece,2024,25.8,3,4,Inicio,974
Idade,25-54,EL,Greece,2024,25.8,3,4,Fim,976
Idade,25-54,ES,Spain,2024,25.4,3,4,Inicio,974
Idade,25-54,ES,Spain,2024,25.4,3,4,Fim,976
Idade,25-54,FI,Finland,2024,15.4,3,4,Inicio,974
Idade,25-54,FI,Finland,2024,15.4,3,4,Fim,976
Idade,25-54,FR,France,2024,19,3,4,Inicio,974
Idade,25-54,FR,France,2024,19,3,4,Fim,976
Idade,25-54,HR,Croatia,2024,14.9,3,4,Inicio,974
Idade,25-54,HR,Croatia,2024,14.9,3,4,Fim,976
Idade,25-54,HU,Hungary,2024,14.9,3,4,Inicio,974
Idade,25-54,HU,Hungary,2024,14.9,3,4,Fim,976
Idade,25-54,IE,Ireland,2024,14.1,3,4,Inicio,974
Idade,25-54,IE,Ireland,2024,14.1,3,4,Fim,976
Idade,25-54,IT,Italy,2024,23,3,4,Inicio,974
Idade,25-54,IT,Italy,2024,23,3,4,Fim,976
Idade,25-54,LT,Lithuania,2024,19,3,4,Inicio,974
Idade,25-54,LT,Lithuania,2024,19,3,4,Fim,976
Idade,25-54,LU,Luxembourg,2024,19.1,3,4,Inicio,974
Idade,25-54,LU,Luxembourg,2024,19.1,3,4,Fim,976
Idade,25-54,LV,Latvia,2024,17.6,3,4,Inicio,974
Idade,25-54,LV,Latvia,2024,17.6,3,4,Fim,976
Idade,25-54,MT,Malta,2024,14.4,3,4,Inicio,974
Idade,25-54,MT,Malta,2024,14.4,3,4,Fim,976
Idade,25-54,NL,Netherlands,2024,13.2,3,4,Inicio,974
Idade,25-54,NL,Netherlands,2024,13.2,3,4,Fim,976
Idade,25-54,NO,Norway,2024,15.9,3,4,Inicio,974
Idade,25-54,NO,Norway,2024,15.9,3,4,Fim,976
Idade,25-54,PL,Poland,2024,14.5,3,4,Inicio,974
Idade,25-54,PL,Poland,2024,14.5,3,4,Fim,976
Idade,25-54,PT,Portugal,2024,16,3,4,Inicio,974
Idade,25-54,PT,Portugal,2024,16,3,4,Fim,976
Idade,25-54,RO,Romania,2024,24,3,4,Inicio,974
Idade,25-54,RO,Romania,2024,24,3,4,Fim,976
Idade,25-54,RS,Serbia,2024,20.8,3,4,Inicio,974
Idade,25-54,RS,Serbia,2024,20.8,3,4,Fim,976
Idade,25-54,SE,Sweden,2024,17.9,3,4,Inicio,974
Idade,25-54,SE,Sweden,2024,17.9,3,4,Fim,976
Idade,25-54,SI,Slovenia,2024,11.2,3,4,Inicio,974
Idade,25-54,SI,Slovenia,2024,11.2,3,4,Fim,976
Idade,25-54,SK,Slovakia,2024,17.9,3,4,Inicio,974
Idade,25-54,SK,Slovakia,2024,17.9,3,4,Fim,976
Idade,25-54,TR,Türkiye,2024,25.7,3,4,Inicio,974
Idade,25-54,TR,Türkiye,2024,25.7,3,4,Fim,976
Idade,55-64,AT,Austria,2024,15.6,3,5,Inicio,971
Idade,55-64,AT,Austria,2024,15.6,3,5,Fim,973
Idade,55-64,BE,Belgium,2024,22.1,3,5,Inicio,971
Idade,55-64,BE,Belgium,2024,22.1,3,5,Fim,973
Idade,55-64,BG,Bulgaria,2024,25.4,3,5,Inicio,971
Idade,55-64,BG,Bulgaria,2024,25.4,3,5,Fim,973
Idade,55-64,CY,Cyprus,2024,13.8,3,5,Inicio,971
Idade,55-64,CY,Cyprus,2024,13.8,3,5,Fim,973
Idade,55-64,CZ,Czechia,2024,12.1,3,5,Inicio,971
Idade,55-64,CZ,Czechia,2024,12.1,3,5,Fim,973
Idade,55-64,DE,Germany,2024,20.1,3,5,Inicio,971
Idade,55-64,DE,Germany,2024,20.1,3,5,Fim,973
Idade,55-64,DK,Denmark,2024,15.8,3,5,Inicio,971
Idade,55-64,DK,Denmark,2024,15.8,3,5,Fim,973
Idade,55-64,EE,Estonia,2024,20.4,3,5,Inicio,971
Idade,55-64,EE,Estonia,2024,20.4,3,5,Fim,973
Idade,55-64,EL,Greece,2024,28.6,3,5,Inicio,971
Idade,55-64,EL,Greece,2024,28.6,3,5,Fim,973
Idade,55-64,ES,Spain,2024,25.4,3,5,Inicio,971
Idade,55-64,ES,Spain,2024,25.4,3,5,Fim,973
Idade,55-64,FI,Finland,2024,16,3,5,Inicio,971
Idade,55-64,FI,Finland,2024,16,3,5,Fim,973
Idade,55-64,FR,France,2024,21.5,3,5,Inicio,971
Idade,55-64,FR,France,2024,21.5,3,5,Fim,973
Idade,55-64,HR,Croatia,2024,22.1,3,5,Inicio,971
Idade,55-64,HR,Croatia,2024,22.1,3,5,Fim,973
Idade,55-64,HU,Hungary,2024,21.4,3,5,Inicio,971
Idade,55-64,HU,Hungary,2024,21.4,3,5,Fim,973
Idade,55-64,IE,Ireland,2024,18.2,3,5,Inicio,971
Idade,55-64,IE,Ireland,2024,18.2,3,5,Fim,973
Idade,55-64,IT,Italy,2024,23.1,3,5,Inicio,971
Idade,55-64,IT,Italy,2024,23.1,3,5,Fim,973
Idade,55-64,LT,Lithuania,2024,27.7,3,5,Inicio,971
Idade,55-64,LT,Lithuania,2024,27.7,3,5,Fim,973
Idade,55-64,LU,Luxembourg,2024,18.5,3,5,Inicio,971
Idade,55-64,LU,Luxembourg,2024,18.5,3,5,Fim,973
Idade,55-64,LV,Latvia,2024,26.7,3,5,Inicio,971
Idade,55-64,LV,Latvia,2024,26.7,3,5,Fim,973
Idade,55-64,MT,Malta,2024,19.5,3,5,Inicio,971
Idade,55-64,MT,Malta,2024,19.5,3,5,Fim,973
Idade,55-64,NL,Netherlands,2024,16.5,3,5,Inicio,971
Idade,55-64,NL,Netherlands,2024,16.5,3,5,Fim,973
Idade,55-64,NO,Norway,2024,10.9,3,5,Inicio,971
Idade,55-64,NO,Norway,2024,10.9,3,5,Fim,973
Idade,55-64,PL,Poland,2024,17.9,3,5,Inicio,971
Idade,55-64,PL,Poland,2024,17.9,3,5,Fim,973
Idade,55-64,PT,Portugal,2024,21.7,3,5,Inicio,971
Idade,55-64,PT,Portugal,2024,21.7,3,5,Fim,973
Idade,55-64,RO,Romania,2024,28.2,3,5,Inicio,971
Idade,55-64,RO,Romania,2024,28.2,3,5,Fim,973
Idade,55-64,RS,Serbia,2024,28.4,3,5,Inicio,971
Idade,55-64,RS,Serbia,2024,28.4,3,5,Fim,973
Idade,55-64,SE,Sweden,2024,14.4,3,5,Inicio,971
Idade,55-64,SE,Sweden,2024,14.4,3,5,Fim,973
Idade,55-64,SI,Slovenia,2024,16.9,3,5,Inicio,971
Idade,55-64,SI,Slovenia,2024,16.9,3,5,Fim,973
Idade,55-64,SK,Slovakia,2024,18.2,3,5,Inicio,971
Idade,55-64,SK,Slovakia,2024,18.2,3,5,Fim,973
Idade,55-64,TR,Türkiye,2024,28.9,3,5,Inicio,971
Idade,55-64,TR,Türkiye,2024,28.9,3,5,Fim,973
Idade,65-74,AT,Austria,2024,16.8,3,6,Inicio,968
Idade,65-74,AT,Austria,2024,16.8,3,6,Fim,970
Idade,65-74,BE,Belgium,2024,13.2,3,6,Inicio,968
Idade,65-74,BE,Belgium,2024,13.2,3,6,Fim,970
Idade,65-74,BG,Bulgaria,2024,34.3,3,6,Inicio,968
Idade,65-74,BG,Bulgaria,2024,34.3,3,6,Fim,970
Idade,65-74,CY,Cyprus,2024,24,3,6,Inicio,968
Idade,65-74,CY,Cyprus,2024,24,3,6,Fim,970
Idade,65-74,CZ,Czechia,2024,8.6,3,6,Inicio,968
Idade,65-74,CZ,Czechia,2024,8.6,3,6,Fim,970
Idade,65-74,DE,Germany,2024,21.7,3,6,Inicio,968
Idade,65-74,DE,Germany,2024,21.7,3,6,Fim,970
Idade,65-74,DK,Denmark,2024,8.1,3,6,Inicio,968
Idade,65-74,DK,Denmark,2024,8.1,3,6,Fim,970
Idade,65-74,EE,Estonia,2024,32.6,3,6,Inicio,968
Idade,65-74,EE,Estonia,2024,32.6,3,6,Fim,970
Idade,65-74,EL,Greece,2024,23.4,3,6,Inicio,968
Idade,65-74,EL,Greece,2024,23.4,3,6,Fim,970
Idade,65-74,ES,Spain,2024,17,3,6,Inicio,968
Idade,65-74,ES,Spain,2024,17,3,6,Fim,970
Idade,65-74,FI,Finland,2024,13.6,3,6,Inicio,968
Idade,65-74,FI,Finland,2024,13.6,3,6,Fim,970
Idade,65-74,FR,France,2024,15.3,3,6,Inicio,968
Idade,65-74,FR,France,2024,15.3,3,6,Fim,970
Idade,65-74,HR,Croatia,2024,36,3,6,Inicio,968
Idade,65-74,HR,Croatia,2024,36,3,6,Fim,970
Idade,65-74,HU,Hungary,2024,27.5,3,6,Inicio,968
Idade,65-74,HU,Hungary,2024,27.5,3,6,Fim,970
Idade,65-74,IE,Ireland,2024,19,3,6,Inicio,968
Idade,65-74,IE,Ireland,2024,19,3,6,Fim,970
Idade,65-74,IT,Italy,2024,19.1,3,6,Inicio,968
Idade,65-74,IT,Italy,2024,19.1,3,6,Fim,970
Idade,65-74,LT,Lithuania,2024,38.5,3,6,Inicio,968
Idade,65-74,LT,Lithuania,2024,38.5,3,6,Fim,970
Idade,65-74,LU,Luxembourg,2024,10.6,3,6,Inicio,968
Idade,65-74,LU,Luxembourg,2024,10.6,3,6,Fim,970
Idade,65-74,LV,Latvia,2024,36,3,6,Inicio,968
Idade,65-74,LV,Latvia,2024,36,3,6,Fim,970
Idade,65-74,MT,Malta,2024,31.3,3,6,Inicio,968
Idade,65-74,MT,Malta,2024,31.3,3,6,Fim,970
Idade,65-74,NL,Netherlands,2024,11.1,3,6,Inicio,968
Idade,65-74,NL,Netherlands,2024,11.1,3,6,Fim,970
Idade,65-74,NO,Norway,2024,6.3,3,6,Inicio,968
Idade,65-74,NO,Norway,2024,6.3,3,6,Fim,970
Idade,65-74,PL,Poland,2024,16.5,3,6,Inicio,968
Idade,65-74,PL,Poland,2024,16.5,3,6,Fim,970
Idade,65-74,PT,Portugal,2024,21.2,3,6,Inicio,968
Idade,65-74,PT,Portugal,2024,21.2,3,6,Fim,970
Idade,65-74,RO,Romania,2024,26.6,3,6,Inicio,968
Idade,65-74,RO,Romania,2024,26.6,3,6,Fim,970
Idade,65-74,RS,Serbia,2024,29.5,3,6,Inicio,968
Idade,65-74,RS,Serbia,2024,29.5,3,6,Fim,970
Idade,65-74,SE,Sweden,2024,10.6,3,6,Inicio,968
Idade,65-74,SE,Sweden,2024,10.6,3,6,Fim,970
Idade,65-74,SI,Slovenia,2024,22.8,3,6,Inicio,968
Idade,65-74,SI,Slovenia,2024,22.8,3,6,Fim,970
Idade,65-74,SK,Slovakia,2024,13.2,3,6,Inicio,968
Idade,65-74,SK,Slovakia,2024,13.2,3,6,Fim,970
Idade,65-74,TR,Türkiye,2024,26.9,3,6,Inicio,968
Idade,65-74,TR,Türkiye,2024,26.9,3,6,Fim,970
Idade,75-00,AT,Austria,2024,17,3,7,Inicio,965
